id,airline_iata,airline_icao,flight_iata,flight_icao,flight_number,dep_iata,dep_icao,dep_terminal,dep_gate,dep_time,dep_time_utc,dep_estimated,dep_estimated_utc,dep_actual,dep_actual_utc,arr_iata,arr_icao,arr_terminal,arr_gate,arr_baggage,arr_time,arr_time_utc,cs_airline_iata,cs_flight_number,cs_flight_iata,status,duration,delayed,dep_delayed,arr_delayed,aircraft_icao,arr_time_ts,dep_time_ts,dep_estimated_ts,dep_actual_ts,departure,arrivals,arr_estimated,arr_estimated_ts,arr_estimated_utc,arr_actual,arr_actual_ts,arr_actual_utc
139,IB,IBE,IB5019,IBE5019,5019,OPO,LPPR,,,2022-11-08 21:45,2022-11-08 21:45,,,,,BCN,LEBL,1,,8.0,2022-11-09 00:30,2022-11-08 23:30,VY,8481.0,VY8481,scheduled,105,,,,,1667950200,1667943900,,,Francisco de Sa Carneiro Airport,Barcelona-El Prat Airport,,,,,,
140,QR,QTR,QR3687,QTR3687,3687,OPO,LPPR,,,2022-11-08 21:45,2022-11-08 21:45,,,,,BCN,LEBL,1,,8.0,2022-11-09 00:30,2022-11-08 23:30,VY,8481.0,VY8481,scheduled,105,,,,,1667950200,1667943900,,,Francisco de Sa Carneiro Airport,Barcelona-El Prat Airport,,,,,,
141,VY,VLG,VY8481,VLG8481,8481,OPO,LPPR,,,2022-11-08 21:45,2022-11-08 21:45,,,,,BCN,LEBL,1,,8.0,2022-11-09 00:30,2022-11-08 23:30,,,,scheduled,105,,,,,1667950200,1667943900,,,Francisco de Sa Carneiro Airport,Barcelona-El Prat Airport,,,,,,
142,AD,AZU,AD7315,AZU7315,7315,OPO,LPPR,,,2022-11-09 05:05,2022-11-09 05:05,,,,,LIS,LPPT,1,,,2022-11-09 06:05,2022-11-09 06:05,NI,1925.0,NI1925,scheduled,60,,,,,1667973900,1667970300,,,Francisco de Sa Carneiro Airport,Lisbon Humberto Delgado Airport,,,,,,
143,NI,PGA,NI1925,PGA1925,1925,OPO,LPPR,,,2022-11-09 05:05,2022-11-09 05:05,,,,,LIS,LPPT,1,,,2022-11-09 06:05,2022-11-09 06:05,,,,scheduled,60,,,,,1667973900,1667970300,,,Francisco de Sa Carneiro Airport,Lisbon Humberto Delgado Airport,,,,,,
144,S4,RZO,S48413,RZO8413,8413,OPO,LPPR,,,2022-11-09 05:05,2022-11-09 05:05,,,,,LIS,LPPT,1,,,2022-11-09 06:05,2022-11-09 06:05,NI,1925.0,NI1925,scheduled,60,,,,,1667973900,1667970300,,,Francisco de Sa Carneiro Airport,Lisbon Humberto Delgado Airport,,,,,,
145,TP,TAP,TP1925,TAP1925,1925,OPO,LPPR,,,2022-11-09 05:05,2022-11-09 05:05,,,,,LIS,LPPT,1,,,2022-11-09 06:05,2022-11-09 06:05,NI,1925.0,NI1925,scheduled,60,,,,,1667973900,1667970300,,,Francisco de Sa Carneiro Airport,Lisbon Humberto Delgado Airport,,,,,,
146,NT,IBB,NT933,IBB933,933,PXO,LPPS,T1,,2022-11-08 19:30,2022-11-08 19:30,2022-11-08 19:12,2022-11-08 19:12,2022-11-08 19:12,2022-11-08 19:12,FNC,LPMA,T1,,,2022-11-08 19:55,2022-11-08 19:55,,,,landed,25,,,,,1667937300,1667935800,1667934720.0,1667934720.0,Porto Santo Airport,Madeira Airport,2022-11-08 19:28,1667935680.0,2022-11-08 19:28,2022-11-08 19:28,1667935680.0,2022-11-08 19:28
147,S4,RZO,S47933,RZO7933,7933,PXO,LPPS,T1,,2022-11-08 19:30,2022-11-08 19:30,2022-11-08 19:12,2022-11-08 19:12,2022-11-08 19:12,2022-11-08 19:12,FNC,LPMA,T1,,,2022-11-08 19:55,2022-11-08 19:55,NT,933.0,NT933,landed,25,,,,,1667937300,1667935800,1667934720.0,1667934720.0,Porto Santo Airport,Madeira Airport,2022-11-08 19:28,1667935680.0,2022-11-08 19:28,2022-11-08 19:28,1667935680.0,2022-11-08 19:28
148,AM,AMX,AM6945,AMX6945,6945,MAD,LEMD,2,D58,2022-11-08 19:05,2022-11-08 18:05,2022-11-08 18:52,2022-11-08 17:52,2022-11-08 18:52,2022-11-08 17:52,LIS,LPPT,1,,,2022-11-08 19:25,2022-11-08 19:25,UX,1157.0,UX1157,landed,80,,,,,1667935500,1667930700,1667929920.0,1667929920.0,Adolfo Suarez Madrid-Barajas Airport,Lisbon Humberto Delgado Airport,2022-11-08 19:18,1667935080.0,2022-11-08 19:18,2022-11-08 19:18,1667935080.0,2022-11-08 19:18
149,AR,ARG,AR7336,ARG7336,7336,MAD,LEMD,2,D58,2022-11-08 19:05,2022-11-08 18:05,2022-11-08 18:52,2022-11-08 17:52,2022-11-08 18:52,2022-11-08 17:52,LIS,LPPT,1,,,2022-11-08 19:25,2022-11-08 19:25,UX,1157.0,UX1157,landed,80,,,,,1667935500,1667930700,1667929920.0,1667929920.0,Adolfo Suarez Madrid-Barajas Airport,Lisbon Humberto Delgado Airport,2022-11-08 19:18,1667935080.0,2022-11-08 19:18,2022-11-08 19:18,1667935080.0,2022-11-08 19:18
150,SV,SVA,SV6131,SVA6131,6131,MAD,LEMD,2,D58,2022-11-08 19:05,2022-11-08 18:05,2022-11-08 18:52,2022-11-08 17:52,2022-11-08 18:52,2022-11-08 17:52,LIS,LPPT,1,,,2022-11-08 19:25,2022-11-08 19:25,UX,1157.0,UX1157,landed,80,,,,,1667935500,1667930700,1667929920.0,1667929920.0,Adolfo Suarez Madrid-Barajas Airport,Lisbon Humberto Delgado Airport,2022-11-08 19:18,1667935080.0,2022-11-08 19:18,2022-11-08 19:18,1667935080.0,2022-11-08 19:18
151,UX,AEA,UX1157,AEA1157,1157,MAD,LEMD,2,D58,2022-11-08 19:05,2022-11-08 18:05,2022-11-08 18:52,2022-11-08 17:52,2022-11-08 18:52,2022-11-08 17:52,LIS,LPPT,1,,,2022-11-08 19:25,2022-11-08 19:25,,,,landed,80,,,,,1667935500,1667930700,1667929920.0,1667929920.0,Adolfo Suarez Madrid-Barajas Airport,Lisbon Humberto Delgado Airport,2022-11-08 19:18,1667935080.0,2022-11-08 19:18,2022-11-08 19:18,1667935080.0,2022-11-08 19:18
152,S4,RZO,S48613,RZO8613,8613,LGW,EGKK,S,12,2022-11-08 16:35,2022-11-08 16:35,2022-11-08 16:33,2022-11-08 16:33,2022-11-08 16:33,2022-11-08 16:33,LIS,LPPT,1,,,2022-11-08 19:10,2022-11-08 19:10,TP,1337.0,TP1337,landed,155,10.0,,10.0,,1667934600,1667925300,1667925180.0,1667925180.0,London Gatwick Airport,Lisbon Humberto Delgado Airport,2022-11-08 19:20,1667935200.0,2022-11-08 19:20,2022-11-08 19:20,1667935200.0,2022-11-08 19:20
153,TP,TAP,TP1337,TAP1337,1337,LGW,EGKK,S,12,2022-11-08 16:35,2022-11-08 16:35,2022-11-08 16:33,2022-11-08 16:33,2022-11-08 16:33,2022-11-08 16:33,LIS,LPPT,1,,,2022-11-08 19:10,2022-11-08 19:10,,,,landed,155,10.0,,10.0,,1667934600,1667925300,1667925180.0,1667925180.0,London Gatwick Airport,Lisbon Humberto Delgado Airport,2022-11-08 19:20,1667935200.0,2022-11-08 19:20,2022-11-08 19:20,1667935200.0,2022-11-08 19:20
154,U2,EZY,U28719,EZY8719,8719,LGW,EGKK,N,51,2022-11-08 16:30,2022-11-08 16:30,2022-11-08 16:40,2022-11-08 16:40,2022-11-08 16:40,2022-11-08 16:40,LIS,LPPT,1,,,2022-11-08 19:15,2022-11-08 19:15,,,,landed,165,7.0,10.0,7.0,,1667934900,1667925000,1667925600.0,1667925600.0,London Gatwick Airport,Lisbon Humberto Delgado Airport,2022-11-08 19:22,1667935320.0,2022-11-08 19:22,2022-11-08 19:22,1667935320.0,2022-11-08 19:22
155,A3,AEE,A31737,AEE1737,1737,FCO,LIRF,3,,2022-11-08 16:45,2022-11-08 15:45,2022-11-08 17:18,2022-11-08 16:18,2022-11-08 17:18,2022-11-08 16:18,LIS,LPPT,1,,,2022-11-08 18:40,2022-11-08 18:40,TP,841.0,TP841,landed,175,46.0,33.0,46.0,,1667932800,1667922300,1667924280.0,1667924280.0,Leonardo da Vinci-Fiumicino Airport,Lisbon Humberto Delgado Airport,2022-11-08 19:26,1667935560.0,2022-11-08 19:26,2022-11-08 19:26,1667935560.0,2022-11-08 19:26
156,AD,AZU,AD7270,AZU7270,7270,FCO,LIRF,3,,2022-11-08 16:45,2022-11-08 15:45,2022-11-08 17:18,2022-11-08 16:18,2022-11-08 17:18,2022-11-08 16:18,LIS,LPPT,1,,,2022-11-08 18:40,2022-11-08 18:40,TP,841.0,TP841,landed,175,46.0,33.0,46.0,,1667932800,1667922300,1667924280.0,1667924280.0,Leonardo da Vinci-Fiumicino Airport,Lisbon Humberto Delgado Airport,2022-11-08 19:26,1667935560.0,2022-11-08 19:26,2022-11-08 19:26,1667935560.0,2022-11-08 19:26
157,AZ,ITY,AZ7538,ITY7538,7538,FCO,LIRF,3,,2022-11-08 16:45,2022-11-08 15:45,2022-11-08 17:18,2022-11-08 16:18,2022-11-08 17:18,2022-11-08 16:18,LIS,LPPT,1,,,2022-11-08 18:40,2022-11-08 18:40,TP,841.0,TP841,landed,175,46.0,33.0,46.0,,1667932800,1667922300,1667924280.0,1667924280.0,Leonardo da Vinci-Fiumicino Airport,Lisbon Humberto Delgado Airport,2022-11-08 19:26,1667935560.0,2022-11-08 19:26,2022-11-08 19:26,1667935560.0,2022-11-08 19:26
158,LY,ELY,LY9029,ELY9029,9029,FCO,LIRF,3,,2022-11-08 16:45,2022-11-08 15:45,2022-11-08 17:18,2022-11-08 16:18,2022-11-08 17:18,2022-11-08 16:18,LIS,LPPT,1,,,2022-11-08 18:40,2022-11-08 18:40,TP,841.0,TP841,landed,175,46.0,33.0,46.0,,1667932800,1667922300,1667924280.0,1667924280.0,Leonardo da Vinci-Fiumicino Airport,Lisbon Humberto Delgado Airport,2022-11-08 19:26,1667935560.0,2022-11-08 19:26,2022-11-08 19:26,1667935560.0,2022-11-08 19:26
159,MS,MSR,MS9439,MSR9439,9439,FCO,LIRF,3,,2022-11-08 16:45,2022-11-08 15:45,2022-11-08 17:18,2022-11-08 16:18,2022-11-08 17:18,2022-11-08 16:18,LIS,LPPT,1,,,2022-11-08 18:40,2022-11-08 18:40,TP,841.0,TP841,landed,175,46.0,33.0,46.0,,1667932800,1667922300,1667924280.0,1667924280.0,Leonardo da Vinci-Fiumicino Airport,Lisbon Humberto Delgado Airport,2022-11-08 19:26,1667935560.0,2022-11-08 19:26,2022-11-08 19:26,1667935560.0,2022-11-08 19:26
160,S4,RZO,S48905,RZO8905,8905,FCO,LIRF,3,,2022-11-08 16:45,2022-11-08 15:45,2022-11-08 17:18,2022-11-08 16:18,2022-11-08 17:18,2022-11-08 16:18,LIS,LPPT,1,,,2022-11-08 18:40,2022-11-08 18:40,TP,841.0,TP841,landed,175,46.0,33.0,46.0,,1667932800,1667922300,1667924280.0,1667924280.0,Leonardo da Vinci-Fiumicino Airport,Lisbon Humberto Delgado Airport,2022-11-08 19:26,1667935560.0,2022-11-08 19:26,2022-11-08 19:26,1667935560.0,2022-11-08 19:26
161,TP,TAP,TP841,TAP841,841,FCO,LIRF,3,,2022-11-08 16:45,2022-11-08 15:45,2022-11-08 17:18,2022-11-08 16:18,2022-11-08 17:18,2022-11-08 16:18,LIS,LPPT,1,,,2022-11-08 18:40,2022-11-08 18:40,,,,landed,175,46.0,33.0,46.0,,1667932800,1667922300,1667924280.0,1667924280.0,Leonardo da Vinci-Fiumicino Airport,Lisbon Humberto Delgado Airport,2022-11-08 19:26,1667935560.0,2022-11-08 19:26,2022-11-08 19:26,1667935560.0,2022-11-08 19:26
162,AD,AZU,AD7520,AZU7520,7520,ORY,LFPO,1,,2022-11-08 17:40,2022-11-08 16:40,2022-11-08 18:10,2022-11-08 17:10,2022-11-08 18:10,2022-11-08 17:10,LIS,LPPT,1,,,2022-11-08 19:10,2022-11-08 19:10,TP,431.0,TP431,landed,150,18.0,,18.0,,1667934600,1667925600,1667927400.0,1667927400.0,Paris Orly Airport,Lisbon Humberto Delgado Airport,2022-11-08 19:28,1667935680.0,2022-11-08 19:28,2022-11-08 19:28,1667935680.0,2022-11-08 19:28
163,S4,RZO,S48266,RZO8266,8266,ORY,LFPO,1,,2022-11-08 17:40,2022-11-08 16:40,2022-11-08 18:10,2022-11-08 17:10,2022-11-08 18:10,2022-11-08 17:10,LIS,LPPT,1,,,2022-11-08 19:10,2022-11-08 19:10,TP,431.0,TP431,landed,150,18.0,,18.0,,1667934600,1667925600,1667927400.0,1667927400.0,Paris Orly Airport,Lisbon Humberto Delgado Airport,2022-11-08 19:28,1667935680.0,2022-11-08 19:28,2022-11-08 19:28,1667935680.0,2022-11-08 19:28
164,TP,TAP,TP431,TAP431,431,ORY,LFPO,1,,2022-11-08 17:40,2022-11-08 16:40,2022-11-08 18:10,2022-11-08 17:10,2022-11-08 18:10,2022-11-08 17:10,LIS,LPPT,1,,,2022-11-08 19:10,2022-11-08 19:10,,,,landed,150,18.0,,18.0,,1667934600,1667925600,1667927400.0,1667927400.0,Paris Orly Airport,Lisbon Humberto Delgado Airport,2022-11-08 19:28,1667935680.0,2022-11-08 19:28,2022-11-08 19:28,1667935680.0,2022-11-08 19:28
165,BT,BTI,BT5334,BTI5334,5334,HAM,EDDH,2,,2022-11-08 17:10,2022-11-08 16:10,2022-11-08 17:36,2022-11-08 16:36,2022-11-08 17:36,2022-11-08 16:36,LIS,LPPT,1,,,2022-11-08 19:30,2022-11-08 19:30,NI,563.0,NI563,landed,200,,,,,1667935800,1667923800,1667925360.0,1667925360.0,Hamburg Airport,Lisbon Humberto Delgado Airport,,,,,,
166,LH,DLH,LH6962,DLH6962,6962,HAM,EDDH,2,,2022-11-08 17:10,2022-11-08 16:10,2022-11-08 17:36,2022-11-08 16:36,2022-11-08 17:36,2022-11-08 16:36,LIS,LPPT,1,,,2022-11-08 19:30,2022-11-08 19:30,NI,563.0,NI563,landed,200,,,,,1667935800,1667923800,1667925360.0,1667925360.0,Hamburg Airport,Lisbon Humberto Delgado Airport,,,,,,
167,NI,PGA,NI563,PGA563,563,HAM,EDDH,2,,2022-11-08 17:10,2022-11-08 16:10,2022-11-08 17:36,2022-11-08 16:36,2022-11-08 17:36,2022-11-08 16:36,LIS,LPPT,1,,,2022-11-08 19:30,2022-11-08 19:30,,,,landed,200,,,,,1667935800,1667923800,1667925360.0,1667925360.0,Hamburg Airport,Lisbon Humberto Delgado Airport,,,,,,
168,S4,RZO,S48343,RZO8343,8343,HAM,EDDH,2,,2022-11-08 17:10,2022-11-08 16:10,2022-11-08 17:36,2022-11-08 16:36,2022-11-08 17:36,2022-11-08 16:36,LIS,LPPT,1,,,2022-11-08 19:30,2022-11-08 19:30,NI,563.0,NI563,landed,200,,,,,1667935800,1667923800,1667925360.0,1667925360.0,Hamburg Airport,Lisbon Humberto Delgado Airport,,,,,,
169,TP,TAP,TP563,TAP563,563,HAM,EDDH,2,,2022-11-08 17:10,2022-11-08 16:10,2022-11-08 17:36,2022-11-08 16:36,2022-11-08 17:36,2022-11-08 16:36,LIS,LPPT,1,,,2022-11-08 19:30,2022-11-08 19:30,NI,563.0,NI563,landed,200,,,,,1667935800,1667923800,1667925360.0,1667925360.0,Hamburg Airport,Lisbon Humberto Delgado Airport,,,,,,
170,JD,CBJ,JD5415,CBJ5415,5415,CMN,GMMN,2,,2022-11-08 16:45,2022-11-08 15:45,2022-11-08 19:21,2022-11-08 18:21,2022-11-08 19:21,2022-11-08 18:21,LIS,LPPT,1,,,2022-11-08 17:05,2022-11-08 17:05,NI,1443.0,NI1443,landed,80,146.0,,146.0,,1667927100,1667922300,1667931660.0,1667931660.0,Mohammed V International Airport,Lisbon Humberto Delgado Airport,2022-11-08 19:31,1667935860.0,2022-11-08 19:31,2022-11-08 19:31,1667935860.0,2022-11-08 19:31
171,NI,PGA,NI1443,PGA1443,1443,CMN,GMMN,2,,2022-11-08 16:45,2022-11-08 15:45,2022-11-08 19:21,2022-11-08 18:21,2022-11-08 19:21,2022-11-08 18:21,LIS,LPPT,1,,,2022-11-08 17:05,2022-11-08 17:05,,,,landed,80,146.0,,146.0,,1667927100,1667922300,1667931660.0,1667931660.0,Mohammed V International Airport,Lisbon Humberto Delgado Airport,2022-11-08 19:31,1667935860.0,2022-11-08 19:31,2022-11-08 19:31,1667935860.0,2022-11-08 19:31
172,S4,RZO,S48305,RZO8305,8305,CMN,GMMN,2,,2022-11-08 16:45,2022-11-08 15:45,2022-11-08 19:21,2022-11-08 18:21,2022-11-08 19:21,2022-11-08 18:21,LIS,LPPT,1,,,2022-11-08 17:05,2022-11-08 17:05,NI,1443.0,NI1443,landed,80,146.0,,146.0,,1667927100,1667922300,1667931660.0,1667931660.0,Mohammed V International Airport,Lisbon Humberto Delgado Airport,2022-11-08 19:31,1667935860.0,2022-11-08 19:31,2022-11-08 19:31,1667935860.0,2022-11-08 19:31
173,TP,TAP,TP1443,TAP1443,1443,CMN,GMMN,2,,2022-11-08 16:45,2022-11-08 15:45,2022-11-08 19:21,2022-11-08 18:21,2022-11-08 19:21,2022-11-08 18:21,LIS,LPPT,1,,,2022-11-08 17:05,2022-11-08 17:05,NI,1443.0,NI1443,landed,80,146.0,,146.0,,1667927100,1667922300,1667931660.0,1667931660.0,Mohammed V International Airport,Lisbon Humberto Delgado Airport,2022-11-08 19:31,1667935860.0,2022-11-08 19:31,2022-11-08 19:31,1667935860.0,2022-11-08 19:31
174,U2,EZY,U22367,EZY2367,2367,LTN,EGGW,,,2022-11-08 16:40,2022-11-08 16:40,2022-11-08 16:39,2022-11-08 16:39,2022-11-08 16:39,2022-11-08 16:39,LIS,LPPT,1,,,2022-11-08 19:25,2022-11-08 19:25,,,,landed,165,9.0,,9.0,,1667935500,1667925600,1667925540.0,1667925540.0,London Luton Airport,Lisbon Humberto Delgado Airport,2022-11-08 19:34,1667936040.0,2022-11-08 19:34,2022-11-08 19:34,1667936040.0,2022-11-08 19:34
175,AD,AZU,AD7492,AZU7492,7492,FNC,LPMA,T1,,2022-11-08 18:05,2022-11-08 18:05,2022-11-08 17:57,2022-11-08 17:57,2022-11-08 17:57,2022-11-08 17:57,LIS,LPPT,1,,,2022-11-08 19:45,2022-11-08 19:45,TP,1686.0,TP1686,landed,100,,,,,1667936700,1667930700,1667930220.0,1667930220.0,Madeira Airport,Lisbon Humberto Delgado Airport,2022-11-08 19:36,1667936160.0,2022-11-08 19:36,2022-11-08 19:36,1667936160.0,2022-11-08 19:36
176,EK,UAE,EK4772,UAE4772,4772,FNC,LPMA,T1,,2022-11-08 18:05,2022-11-08 18:05,2022-11-08 17:57,2022-11-08 17:57,2022-11-08 17:57,2022-11-08 17:57,LIS,LPPT,1,,,2022-11-08 19:45,2022-11-08 19:45,TP,1686.0,TP1686,landed,100,,,,,1667936700,1667930700,1667930220.0,1667930220.0,Madeira Airport,Lisbon Humberto Delgado Airport,2022-11-08 19:36,1667936160.0,2022-11-08 19:36,2022-11-08 19:36,1667936160.0,2022-11-08 19:36
177,LH,DLH,LH6939,DLH6939,6939,FNC,LPMA,T1,,2022-11-08 18:05,2022-11-08 18:05,2022-11-08 17:57,2022-11-08 17:57,2022-11-08 17:57,2022-11-08 17:57,LIS,LPPT,1,,,2022-11-08 19:45,2022-11-08 19:45,TP,1686.0,TP1686,landed,100,,,,,1667936700,1667930700,1667930220.0,1667930220.0,Madeira Airport,Lisbon Humberto Delgado Airport,2022-11-08 19:36,1667936160.0,2022-11-08 19:36,2022-11-08 19:36,1667936160.0,2022-11-08 19:36
178,S4,RZO,S48010,RZO8010,8010,FNC,LPMA,T1,,2022-11-08 18:05,2022-11-08 18:05,2022-11-08 17:57,2022-11-08 17:57,2022-11-08 17:57,2022-11-08 17:57,LIS,LPPT,1,,,2022-11-08 19:45,2022-11-08 19:45,TP,1686.0,TP1686,landed,100,,,,,1667936700,1667930700,1667930220.0,1667930220.0,Madeira Airport,Lisbon Humberto Delgado Airport,2022-11-08 19:36,1667936160.0,2022-11-08 19:36,2022-11-08 19:36,1667936160.0,2022-11-08 19:36
179,TP,TAP,TP1686,TAP1686,1686,FNC,LPMA,T1,,2022-11-08 18:05,2022-11-08 18:05,2022-11-08 17:57,2022-11-08 17:57,2022-11-08 17:57,2022-11-08 17:57,LIS,LPPT,1,,,2022-11-08 19:45,2022-11-08 19:45,,,,landed,100,,,,,1667936700,1667930700,1667930220.0,1667930220.0,Madeira Airport,Lisbon Humberto Delgado Airport,2022-11-08 19:36,1667936160.0,2022-11-08 19:36,2022-11-08 19:36,1667936160.0,2022-11-08 19:36
180,DT,DTA,DT652,DTA652,652,LAD,FNLU,,,2022-11-08 12:40,2022-11-08 11:40,2022-11-08 13:10,2022-11-08 12:10,2022-11-08 13:10,2022-11-08 12:10,LIS,LPPT,1,,,2022-11-08 19:30,2022-11-08 19:30,,,,landed,470,10.0,,10.0,,1667935800,1667907600,1667909400.0,1667909400.0,Quatro de Fevereiro Airport,Lisbon Humberto Delgado Airport,2022-11-08 19:40,1667936400.0,2022-11-08 19:40,2022-11-08 19:40,1667936400.0,2022-11-08 19:40
181,TP,TAP,TP1478,TAP1478,1478,OXB,GGOV,,,2022-11-08 14:10,2022-11-08 14:10,2022-11-08 15:53,2022-11-08 15:53,2022-11-08 15:53,2022-11-08 15:53,LIS,LPPT,1,,,2022-11-08 18:30,2022-11-08 18:30,,,,landed,260,73.0,,73.0,,1667932200,1667916600,1667922780.0,1667922780.0,Bissau Airport,Lisbon Humberto Delgado Airport,2022-11-08 19:43,1667936580.0,2022-11-08 19:43,2022-11-08 19:43,1667936580.0,2022-11-08 19:43
182,AD,AZU,AD7338,AZU7338,7338,GVA,LSGG,,A3,2022-11-08 18:15,2022-11-08 17:15,2022-11-08 19:25,2022-11-08 18:25,2022-11-08 19:41,2022-11-08 18:41,LIS,LPPT,1,,,2022-11-08 19:45,2022-11-08 19:45,TP,941.0,TP941,landed,150,,70.0,,,1667936700,1667927700,1667931900.0,1667932860.0,Aeroport Geneve-Cointrin,Lisbon Humberto Delgado Airport,,,,,,
183,LX,SWR,LX4586,SWR4586,4586,GVA,LSGG,,A3,2022-11-08 18:15,2022-11-08 17:15,2022-11-08 19:25,2022-11-08 18:25,2022-11-08 19:41,2022-11-08 18:41,LIS,LPPT,1,,,2022-11-08 19:45,2022-11-08 19:45,TP,941.0,TP941,landed,150,,70.0,,,1667936700,1667927700,1667931900.0,1667932860.0,Aeroport Geneve-Cointrin,Lisbon Humberto Delgado Airport,,,,,,
184,MS,MSR,MS9535,MSR9535,9535,GVA,LSGG,,A3,2022-11-08 18:15,2022-11-08 17:15,2022-11-08 19:25,2022-11-08 18:25,2022-11-08 19:41,2022-11-08 18:41,LIS,LPPT,1,,,2022-11-08 19:45,2022-11-08 19:45,TP,941.0,TP941,landed,150,,70.0,,,1667936700,1667927700,1667931900.0,1667932860.0,Aeroport Geneve-Cointrin,Lisbon Humberto Delgado Airport,,,,,,
185,S4,RZO,S48301,RZO8301,8301,DUB,EIDW,1,307,2022-11-08 16:55,2022-11-08 16:55,2022-11-08 18:24,2022-11-08 18:24,2022-11-08 18:24,2022-11-08 18:24,LIS,LPPT,1,,,2022-11-08 19:45,2022-11-08 19:45,TP,1327.0,TP1327,landed,170,,89.0,,,1667936700,1667926500,1667931840.0,1667931840.0,Dublin Airport,Lisbon Humberto Delgado Airport,,,,,,
186,S4,RZO,S48365,RZO8365,8365,GVA,LSGG,,A3,2022-11-08 18:15,2022-11-08 17:15,2022-11-08 19:25,2022-11-08 18:25,2022-11-08 19:41,2022-11-08 18:41,LIS,LPPT,1,,,2022-11-08 19:45,2022-11-08 19:45,TP,941.0,TP941,landed,150,,70.0,,,1667936700,1667927700,1667931900.0,1667932860.0,Aeroport Geneve-Cointrin,Lisbon Humberto Delgado Airport,,,,,,
187,TP,TAP,TP1327,TAP1327,1327,DUB,EIDW,1,307,2022-11-08 16:55,2022-11-08 16:55,2022-11-08 18:24,2022-11-08 18:24,2022-11-08 18:24,2022-11-08 18:24,LIS,LPPT,1,,,2022-11-08 19:45,2022-11-08 19:45,,,,landed,170,,89.0,,,1667936700,1667926500,1667931840.0,1667931840.0,Dublin Airport,Lisbon Humberto Delgado Airport,,,,,,
188,TP,TAP,TP941,TAP941,941,GVA,LSGG,,A3,2022-11-08 18:15,2022-11-08 17:15,2022-11-08 19:25,2022-11-08 18:25,2022-11-08 19:41,2022-11-08 18:41,LIS,LPPT,1,,,2022-11-08 19:45,2022-11-08 19:45,,,,landed,150,,70.0,,A21N,1667936700,1667927700,1667931900.0,1667932860.0,Aeroport Geneve-Cointrin,Lisbon Humberto Delgado Airport,,,,,,
189,A3,AEE,A31722,AEE1722,1722,ZRH,LSZH,1,A62,2022-11-08 18:00,2022-11-08 17:00,2022-11-08 19:29,2022-11-08 18:29,2022-11-08 19:29,2022-11-08 18:29,LIS,LPPT,1,,,2022-11-08 19:50,2022-11-08 19:50,TP,927.0,TP927,active,170,,89.0,,,1667937000,1667926800,1667932140.0,1667932140.0,Zurich Airport,Lisbon Humberto Delgado Airport,,,,,,
190,AD,AZU,AD7522,AZU7522,7522,ZRH,LSZH,1,A62,2022-11-08 18:00,2022-11-08 17:00,2022-11-08 19:29,2022-11-08 18:29,2022-11-08 19:29,2022-11-08 18:29,LIS,LPPT,1,,,2022-11-08 19:50,2022-11-08 19:50,TP,927.0,TP927,active,170,,89.0,,,1667937000,1667926800,1667932140.0,1667932140.0,Zurich Airport,Lisbon Humberto Delgado Airport,,,,,,
191,LX,SWR,LX4582,SWR4582,4582,ZRH,LSZH,1,A62,2022-11-08 18:00,2022-11-08 17:00,2022-11-08 19:29,2022-11-08 18:29,2022-11-08 19:29,2022-11-08 18:29,LIS,LPPT,1,,,2022-11-08 19:50,2022-11-08 19:50,TP,927.0,TP927,active,170,,89.0,,,1667937000,1667926800,1667932140.0,1667932140.0,Zurich Airport,Lisbon Humberto Delgado Airport,,,,,,
192,LY,ELY,LY9025,ELY9025,9025,ZRH,LSZH,1,A62,2022-11-08 18:00,2022-11-08 17:00,2022-11-08 19:29,2022-11-08 18:29,2022-11-08 19:29,2022-11-08 18:29,LIS,LPPT,1,,,2022-11-08 19:50,2022-11-08 19:50,TP,927.0,TP927,active,170,,89.0,,,1667937000,1667926800,1667932140.0,1667932140.0,Zurich Airport,Lisbon Humberto Delgado Airport,,,,,,
193,OS,AUA,OS8141,AUA8141,8141,ZRH,LSZH,1,A62,2022-11-08 18:00,2022-11-08 17:00,2022-11-08 19:29,2022-11-08 18:29,2022-11-08 19:29,2022-11-08 18:29,LIS,LPPT,1,,,2022-11-08 19:50,2022-11-08 19:50,TP,927.0,TP927,active,170,,89.0,,,1667937000,1667926800,1667932140.0,1667932140.0,Zurich Airport,Lisbon Humberto Delgado Airport,,,,,,
194,S4,RZO,S48795,RZO8795,8795,ZRH,LSZH,1,A62,2022-11-08 18:00,2022-11-08 17:00,2022-11-08 19:29,2022-11-08 18:29,2022-11-08 19:29,2022-11-08 18:29,LIS,LPPT,1,,,2022-11-08 19:50,2022-11-08 19:50,TP,927.0,TP927,active,170,,89.0,,,1667937000,1667926800,1667932140.0,1667932140.0,Zurich Airport,Lisbon Humberto Delgado Airport,,,,,,
195,TP,TAP,TP927,TAP927,927,ZRH,LSZH,1,A62,2022-11-08 18:00,2022-11-08 17:00,2022-11-08 19:29,2022-11-08 18:29,2022-11-08 19:29,2022-11-08 18:29,LIS,LPPT,1,,,2022-11-08 19:50,2022-11-08 19:50,,,,active,170,,89.0,,,1667937000,1667926800,1667932140.0,1667932140.0,Zurich Airport,Lisbon Humberto Delgado Airport,,,,,,
